Property Name,date,price
Airyland Room,2025-03-24,89100
Airyland Room,2025-03-24,74300
Albany Room,2025-03-24,55500
Amani Room,2025-03-24,33700
Amani Premium Room,2025-03-24,33700
Airyland Room,2025-03-25,93800
Airyland Room,2025-03-25,80500
Airyland Room,2025-03-25,67000
Albany Room,2025-03-25,50400
Amani Room,2025-03-25,33000
Amani Premium Room,2025-03-25,33000
Airyland Room,2025-03-26,93800
Airyland Room,2025-03-26,80500
Airyland Room,2025-03-26,67000
Albany Room,2025-03-26,50400
Amani Room,2025-03-26,33000
Amani Premium Room,2025-03-26,33000
Airyland Room,2025-03-27,93800
Airyland Room,2025-03-27,80500
Airyland Room,2025-03-27,67000
Albany Room,2025-03-27,50400
Amani Room,2025-03-27,33000
Amani Premium Room,2025-03-27,33000
Airyland Room,2025-03-28,104200
Airyland Room,2025-03-28,89400
Airyland Room,2025-03-28,74500
Albany Room,2025-03-28,55500
Amani Room,2025-03-28,33700
Amani Premium Room,2025-03-28,33700
Airyland Room,2025-03-29,127800
Airyland Room,2025-03-29,109600
Airyland Room,2025-03-29,91300
Albany Room,2025-03-29,67500
Amani Room,2025-03-29,41100
Amani Premium Room,2025-03-29,41100
Airyland Room,2025-03-30,133600
Airyland Room,2025-03-30,114600
Airyland Room,2025-03-30,95500
Albany Room,2025-03-30,70400
Amani Room,2025-03-30,42800
Amani Premium Room,2025-03-30,42800
Airyland Room,2025-03-31,104200
Airyland Room,2025-03-31,89400
Airyland Room,2025-03-31,74500
Albany Room,2025-03-31,55500
Amani Room,2025-03-31,33700
Amani Premium Room,2025-03-31,33700
Airyland Room,2025-04-01,93900
Airyland Room,2025-04-01,80600
Airyland Room,2025-04-01,67100
Albany Room,2025-04-01,50400
Amani Room,2025-04-01,33000
Amani Premium Room,2025-04-01,33000
Airyland Room,2025-04-02,93900
Airyland Room,2025-04-02,80600
Airyland Room,2025-04-02,67100
Amani Room,2025-04-02,33000
Amani Premium Room,2025-04-02,33000
Airyland Room,2025-04-03,93900
Airyland Room,2025-04-03,80600
Airyland Room,2025-04-03,67100
Amani Room,2025-04-03,33000
Amani Premium Room,2025-04-03,33000
Airyland Room,2025-04-04,104200
Airyland Room,2025-04-04,89400
Airyland Room,2025-04-04,74500
Amani Room,2025-04-04,37600
Amani Premium Room,2025-04-04,37600
Airyland Room,2025-04-05,127900
Airyland Room,2025-04-05,109600
Airyland Room,2025-04-05,91300
Amani Room,2025-04-05,41100
Amani Premium Room,2025-04-05,41100
Airyland Room,2025-04-06,133600
Airyland Room,2025-04-06,114600
Airyland Room,2025-04-06,95500
Albany Room,2025-04-06,70400
Amani Room,2025-04-06,42800
Amani Premium Room,2025-04-06,42800
Airyland Room,2025-04-07,104300
Airyland Room,2025-04-07,89500
Airyland Room,2025-04-07,74600
Albany Room,2025-04-07,55600
Amani Room,2025-04-07,33700
Amani Premium Room,2025-04-07,33700
Airyland Room,2025-04-08,93900
Airyland Room,2025-04-08,80600
Airyland Room,2025-04-08,67100
Albany Room,2025-04-08,50400
Amani Room,2025-04-08,33000
Amani Premium Room,2025-04-08,33000
Airyland Room,2025-04-09,93900
Airyland Room,2025-04-09,80600
Airyland Room,2025-04-09,67100
Albany Room,2025-04-09,50400
Amani Room,2025-04-09,33000
Amani Premium Room,2025-04-09,33000
Airyland Room,2025-04-10,93900
Airyland Room,2025-04-10,80600
Airyland Room,2025-04-10,67100
Albany Room,2025-04-10,50400
Amani Room,2025-04-10,33000
Amani Premium Room,2025-04-10,33000
Airyland Room,2025-04-11,104300
Airyland Room,2025-04-11,89500
Airyland Room,2025-04-11,74600
Albany Room,2025-04-11,55600
Amani Room,2025-04-11,33700
Amani Premium Room,2025-04-11,33700
Airyland Room,2025-04-12,127900
Airyland Room,2025-04-12,109600
Airyland Room,2025-04-12,91300
Albany Room,2025-04-12,67600
Amani Room,2025-04-12,41100
Amani Premium Room,2025-04-12,41100
Airyland Room,2025-04-13,133800
Airyland Room,2025-04-13,114800
Airyland Room,2025-04-13,95600
Albany Room,2025-04-13,70600
Amani Room,2025-04-13,42800
Amani Premium Room,2025-04-13,42800
Airyland Room,2025-04-14,104300
Airyland Room,2025-04-14,89500
Airyland Room,2025-04-14,74600
Albany Room,2025-04-14,55600
Amani Room,2025-04-14,33700
Amani Premium Room,2025-04-14,33700
Airyland Room,2025-04-15,93900
Airyland Room,2025-04-15,80600
Airyland Room,2025-04-15,67100
Albany Room,2025-04-15,50400
Amani Room,2025-04-15,33000
Amani Premium Room,2025-04-15,33000
Airyland Room,2025-04-16,93900
Airyland Room,2025-04-16,80600
Airyland Room,2025-04-16,67100
Albany Room,2025-04-16,50400
Amani Room,2025-04-16,33000
Amani Premium Room,2025-04-16,33000
Airyland Room,2025-04-17,93900
Airyland Room,2025-04-17,80600
Airyland Room,2025-04-17,67100
Albany Room,2025-04-17,50400
Amani Room,2025-04-17,33000
Amani Premium Room,2025-04-17,33000
Airyland Room,2025-04-18,104400
Airyland Room,2025-04-18,104400
Airyland Room,2025-04-18,104400
Albany Room,2025-04-18,55600
Amani Room,2025-04-18,33700
Amani Premium Room,2025-04-18,33700
Airyland Room,2025-04-19,127900
Airyland Room,2025-04-19,127900
Airyland Room,2025-04-19,127900
Albany Room,2025-04-19,67700
Amani Room,2025-04-19,41200
Amani Premium Room,2025-04-19,41200
Airyland Room,2025-04-20,133900
Airyland Room,2025-04-20,133900
Airyland Room,2025-04-20,133900
Albany Room,2025-04-20,70600
Amani Room,2025-04-20,42800
Amani Premium Room,2025-04-20,42800
Airyland Room,2025-04-21,104400
Airyland Room,2025-04-21,89600
Airyland Room,2025-04-21,74600
Airyland Room,2025-04-22,94300
Airyland Room,2025-04-22,80900
Airyland Room,2025-04-22,67500
Airyland Room,2025-04-23,94300
Airyland Room,2025-04-23,80900
Airyland Room,2025-04-23,67500
Airyland Room,2025-04-24,94300
Airyland Room,2025-04-24,80900
Airyland Room,2025-04-24,67500
Airyland Room,2025-04-25,104400
Airyland Room,2025-04-25,89600
Airyland Room,2025-04-25,74600
Airyland Room,2025-04-26,128200
Airyland Room,2025-04-26,109900
Airyland Room,2025-04-26,91700
Airyland Room,2025-04-27,133900
Airyland Room,2025-04-27,114900
Airyland Room,2025-04-27,95700
Airyland Room,2025-04-28,104500
Airyland Room,2025-04-28,89700
Airyland Room,2025-04-28,74700
Airyland Room,2025-04-29,94300
Airyland Room,2025-04-29,80900
Airyland Room,2025-04-29,67500
Airyland Room,2025-04-30,94300
Airyland Room,2025-04-30,80900
Airyland Room,2025-04-30,67500
Airyland Room,2025-05-01,111200
Airyland Room,2025-05-01,95400
Airyland Room,2025-05-01,79500
Airyland Room,2025-05-02,123600
Airyland Room,2025-05-02,106000
Airyland Room,2025-05-02,88300
Airyland Room,2025-05-03,151500
Airyland Room,2025-05-03,129900
Airyland Room,2025-05-03,108300
Airyland Room,2025-05-04,158400
Airyland Room,2025-05-04,135800
